date,description,amount,balance
2025-03-01,Opening Balance,0,5000
2025-03-02,Card Sales,1200,6200
2025-03-03,Vendor Payment,-700,5500
2025-03-04,Card Sales,1100,6600
2025-03-05,Rent,-1500,5100
2025-03-06,Card Sales,1300,6400
2025-03-07,Utilities,-300,6100
2025-03-08,Card Sales,1000,7100
2025-03-09,Payroll,-2000,5100
2025-03-10,Card Sales,1600,6700
2025-03-11,Card Sales,900,7600
2025-03-12,Vendor Payment,-800,6800
2025-03-13,Card Sales,1400,8200
2025-03-14,Card Refund,-200,8000
2025-03-15,Card Sales,1500,9500
2025-03-16,Card Sales,900,10400
2025-03-17,Vendor Payment,-1000,9400
2025-03-18,Card Sales,1200,10600
2025-03-19,Card Sales,1300,11900
2025-03-20,Payroll,-2000,9900
2025-03-21,Card Sales,1500,11400
2025-03-22,Utilities,-350,11050
2025-03-23,Card Sales,1200,12250
2025-03-24,Vendor Payment,-900,11350
2025-03-25,Card Sales,1500,12850
2025-03-26,Card Sales,1200,14050
2025-03-27,Card Refund,-300,13750
2025-03-28,Card Sales,1400,15150
2025-03-29,Taxes,-1800,13350
2025-03-30,Card Sales,1600,14950
2025-03-31,Card Sales,1700,16650
2025-04-01,Card Sales,1500,18150
2025-04-02,Vendor Payment,-1000,17150
2025-04-03,Card Sales,1400,18550
2025-04-04,Card Sales,1200,19750
2025-04-05,Payroll,-2000,17750
2025-04-06,Card Sales,1500,19250
2025-04-07,Utilities,-350,18900
2025-04-08,Card Sales,1600,20500
2025-04-09,Vendor Payment,-900,19600
2025-04-10,Card Sales,1500,21100
2025-04-11,Card Sales,1400,22500
2025-04-12,Card Refund,-200,22300
2025-04-13,Card Sales,1600,23900
2025-04-14,Card Sales,1500,25400
2025-04-15,Taxes,-1800,23600
2025-04-16,Card Sales,1700,25300
2025-04-17,Card Sales,1500,26800
2025-04-18,Vendor Payment,-1000,25800
2025-04-19,Card Sales,1600,27400
2025-04-20,Payroll,-2000,25400
2025-04-21,Card Sales,1700,27100
2025-04-22,Utilities,-350,26750
2025-04-23,Card Sales,1500,28250
2025-04-24,Vendor Payment,-900,27350
2025-04-25,Card Sales,1700,29050
2025-04-26,Card Sales,1600,30650
2025-04-27,Card Refund,-300,30350
2025-04-28,Card Sales,1800,32150
2025-04-29,Taxes,-1800,30350
2025-04-30,Card Sales,1900,32250
